序号,URL,视频标题,静态开始时间1,静态结束时间1,静态开始时间2,静态结束时间2
287,https://www.bilibili.com/video/BV1eAeBzeE3N/?spm_id_from=333.337.search-card.all.click&vd_source=3e46e200c2769db33234f490fdf06953,一镜到底[28平复式loft公寓],0000,0050,,
288,https://www.bilibili.com/video/BV1Sy42187tL/?spm_id_from=333.337.search-card.all.click&vd_source=3e46e200c2769db33234f490fdf06953,这个55平的复式我是真喜欢。,0000,0100,,
289,https://www.bilibili.com/video/BV1ST4y1i7Ux/?spm_id_from=333.337.search-card.all.click&vd_source=3e46e200c2769db33234f490fdf06953,市区70方loft公寓，你爱了吗？全景落地窗，双面采光,0000,0100,,
290,【阿尔巴尼亚｜宁静自然与心灵放松 4K - 放松风光影片】 https://www.bilibili.com/video/BV1x8p6zeECQ/?share_source=copy_web&vd_source=9735e89de9c540be2135ed0fbc3da7ff,阿尔巴尼亚｜宁静自然与心灵放松 4K - 放松风光影片,0908,0922,,
291,【【4K】环游世界 - 绝美风景休闲放松影片】 https://www.bilibili.com/video/BV19D4y1F7hD/?share_source=copy_web&vd_source=9735e89de9c540be2135ed0fbc3da7ff,【4K】环游世界 - 绝美风景休闲放松影片,0811,0845,,
292,【有史以来最美的自然景观 4K HDR 杜比 - 放松风光影片】 https://www.bilibili.com/video/BV16bt9zgEUZ/?share_source=copy_web&vd_source=9735e89de9c540be2135ed0fbc3da7ff,有史以来最美的自然景观 4K HDR 杜比 - 放松风光影片,1319,1332,,
293,【最极致的【 4K HDR】】 https://www.bilibili.com/video/BV1dc1mY2EFn/?share_source=copy_web&vd_source=9735e89de9c540be2135ed0fbc3da7ff,最极致的【 4K HDR】,0737,0758,,
294,【【4K HDR】 地球原色】 https://www.bilibili.com/video/BV1hhE9ziEiM/?share_source=copy_web&vd_source=9735e89de9c540be2135ed0fbc3da7ff,【4K HDR】 地球原色,0143,0201,,
295,【【4K HDR】🌍 大地真颜】 https://www.bilibili.com/video/BV1K1TKzaExH/?share_source=copy_web&vd_source=9735e89de9c540be2135ed0fbc3da7ff,【4K HDR】🌍 大地真颜,0300,0320,,
296,【【4K HDR】梦幻视界】 https://www.bilibili.com/video/BV1zh3jz4Enr/?share_source=copy_web&vd_source=9735e89de9c540be2135ed0fbc3da7ff,【4K HDR】梦幻视界,1300,1320,,
297,【【 4K 】人间天堂】 https://www.bilibili.com/video/BV1h4yKYREzu/?share_source=copy_web&vd_source=9735e89de9c540be2135ed0fbc3da7ff,【 4K 】人间天堂,1213,1232,,
298,【【4K风景】冲绳绝景 [2小时Plus Pro加长版] 解压-治愈-工作学习背景音-清晨叫醒-夜晚助眠】 https://www.bilibili.com/video/BV1QK411Q7e7/?share_source=copy_web&vd_source=9735e89de9c540be2135ed0fbc3da7ff,【4K风景】冲绳绝景 [2小时Plus Pro加长版] 解压-治愈-工作学习背景音-清晨叫醒-夜晚助眠,5536,5560,,
299,【【4K无水印】全球风景视觉之旅】 https://www.bilibili.com/video/BV1p1n8zdEAk/?share_source=copy_web&vd_source=9735e89de9c540be2135ed0fbc3da7ff,【4K无水印】全球风景视觉之旅,0103,0129,,
300,https://www.bilibili.com/video/BV1ma4y1p7Fx?vd_source=f8c62870393d9f1fdac857da601b74d0,【Roomtour |loft一镜到底独居女生的家】,,,,
301,https://b23.tv/HOPpUQH,【roomtour｜一镜到底带你参观我家二楼-哔哩哔哩】,,,,
302,https://b23.tv/fd25HUV,【家｜一镜到底的Home Tour｜舒适无风格的家-哔哩哔哩】,,,,
303,https://b23.tv/XwGEnoQ,【Roomtour｜130㎡精装房爆改温馨原木风美家-哔哩哔哩】,,,,
304,https://b23.tv/2aoKItI,【一镜到底|时隔8个月的现代极简落地实景-哔哩哔哩】,,,,
305,https://b23.tv/iHbKs9j,【Roomtour | 一镜到底看没有父母参与的北京装修~-哔哩哔哩】,,,,
306,https://b23.tv/pPWOGcj,【RoomTour｜一镜到底，温柔原木色复式度假感拉满！-哔哩哔哩】,,,,
307,https://b23.tv/VsskQfx,【roomtour｜我没有做任何造型背景墙，我错了吗？｜一镜到底-哔哩哔哩】,,,,
308,https://b23.tv/ec6ZgZg,【一镜到底｜35平小家，适合一个人独居～-哔哩哔哩】,,,,
309,https://b23.tv/hlJe1yq,【49㎡loft公寓的Roomtour | 一镜到底独居女生的小窝布局 | 家居日常vlog | 独居生活记录-哔哩哔哩】,,,,
310,https://b23.tv/SgZFkeB,【从21年装到22年|我们日式的温馨小家呀103平的一镜到底来啦!-哔哩哔哩】,,,,
311,https://b23.tv/KEhVThe,【一镜到底看我家｜魔都50平小户型自装北欧风小家-哔哩哔哩】,,,,
312,https://b23.tv/AOmUsLn,【RoomTour｜一镜到底 带你参观住了三年的婚房-哔哩哔哩】,,,,
313,https://b23.tv/C70CzFc,【room tour｜一镜到底50平小家日系原木风｜厦门保障房小户型装修-哔哩哔哩】,,,,
314,https://b23.tv/DbSI4ws,【Room tour | 一镜到底看33岁独居姐姐的家～-哔哩哔哩】,,,,
315,https://www.bilibili.com/video/BV1mZKMzTEFZ/?spm_id_from=333.337.search-card.all.click&vd_source=f60f5b2e6e7587346334be40fc4bd6d9,【4K HDR】极致美景,2155,2215,,
316,https://www.bilibili.com/video/BV1re411U7PG?spm_id_from=333.788.videopod.sections&vd_source=f60f5b2e6e7587346334be40fc4bd6d9,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] ⛰ 4K视频 | 旅行 | 独自乘坐火车上山 | 旅途歌单,0026,0134,,
317,https://www.bilibili.com/video/BV1e94y1t7rD?spm_id_from=333.788.videopod.sections&vd_source=f60f5b2e6e7587346334be40fc4bd6d9,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🚶 4K视频 | 旅行 | 西雅图联合湖 | 放松歌单,0240,0300,,
318,https://www.bilibili.com/video/BV1op4y1N77P?spm_id_from=333.788.videopod.sections&vd_source=f60f5b2e6e7587346334be40fc4bd6d9,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] ❄️ 4K视频 | 旅行 | 天气冷了 | 冬季歌单,0114,0134,,
319,https://www.bilibili.com/video/BV1Vh4y167Jt?spm_id_from=333.788.videopod.sections&vd_source=f60f5b2e6e7587346334be40fc4bd6d9,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🏙 4K视频 | 旅行 | 冬季挪威 | 寒冷歌单,,,,
320,https://www.bilibili.com/video/BV1qV411w7nw?spm_id_from=333.788.videopod.sections&vd_source=f60f5b2e6e7587346334be40fc4bd6d9,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🏙 4K视频 | 旅行 | 冬天航行 | 海上歌单,0038,0126,,
321,https://www.bilibili.com/video/BV1vu4y167Dg?spm_id_from=333.788.videopod.sections&vd_source=f60f5b2e6e7587346334be40fc4bd6d9,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🚗 4K视频 | 旅行 | 瑞士巴塞尔 Basel | 旅行歌单,0027,0047,,
322,https://www.bilibili.com/video/BV1Uh4y1P7x3?spm_id_from=333.788.videopod.sections&vd_source=f60f5b2e6e7587346334be40fc4bd6d9,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🍃 4K视频 | 旅行 | 因特拉肯 | 吉他Lofi歌单,0012,0035,,
323,https://www.bilibili.com/video/BV1cz4y1j7zN?spm_id_from=333.788.videopod.sections&vd_source=f60f5b2e6e7587346334be40fc4bd6d9,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🏙 4K视频 | 旅行 | 日出灯塔 | 海边歌单,,,,
324,https://www.bilibili.com/video/BV1og4y1M7Vb?spm_id_from=333.788.videopod.sections&vd_source=f60f5b2e6e7587346334be40fc4bd6d9,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🍇 4K视频 | 旅行 | 意大利托斯卡纳大区 | 浪漫歌单,0809,0829,,
325,https://www.bilibili.com/video/BV1954y1T7if?spm_id_from=333.788.videopod.sections&vd_source=f60f5b2e6e7587346334be40fc4bd6d9,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🚂 4K视频 | 旅行 | 沙漠风光 | 非洲歌曲,0348,0408,0416,0510
326,https://www.bilibili.com/video/BV1PD4y1x7fL?spm_id_from=333.788.videopod.sections&vd_source=f60f5b2e6e7587346334be40fc4bd6d9,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🏰 4K视频 | 旅行 | 爱尔兰，苏格兰，威尔士美景 | 凯尔特音乐,0512,0542,4945,5010
327,https://www.bilibili.com/video/BV12y41187fP/?share_source=copy_web&vd_source=82473e08383b10f96ce547e5e6d1a944,【4K HDR】HDR的极致沉浸—古刹禅雨 | 环境原声+8K超采 |,0512,0534,0650,0705
328,https://www.bilibili.com/video/BV1EP4y1z7QL/?share_source=copy_web&vd_source=82473e08383b10f96ce547e5e6d1a944,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🌊 4K视频 | 旅行 | 美丽的大海和海滩 | 冥想纯音乐,1025,1047,,
329,https://www.bilibili.com/video/BV1FM411b7GL/?share_source=copy_web&vd_source=82473e08383b10f96ce547e5e6d1a944,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] ❄️ 4K视频 | 旅行 | 雪天中的火车站和小镇 | 放松歌单,0029,0053,,
330,https://www.bilibili.com/video/BV1114y1V7bT/?share_source=copy_web&vd_source=82473e08383b10f96ce547e5e6d1a944,【[云旅行]4K瑞士度假胜地英格堡铁力士山&特吕布湖第一视角沉浸式云体验 线上旅行 超清欧洲山野风景漫步 + 缆车游览视频 疗愈 放松 冥想 实地收音】,0339,0416,,
331,https://www.bilibili.com/video/BV1Uc411q7xT/?share_source=copy_web&vd_source=82473e08383b10f96ce547e5e6d1a944,【[云旅行]4K复古小镇梦幻雪中漫步 第一视角沉浸式孤独街道深夜行走 超清美国佛蒙特州伍德斯托克小镇街景 实景收音 年代感冷门宝藏景点】,0011,0034,,
332,https://www.bilibili.com/video/BV1gV4y1L76b/?share_source=copy_web&vd_source=82473e08383b10f96ce547e5e6d1a944,【[音乐风景片] 清新绝美碧色大海 + 热带岛屿 马尔代夫超高端私人度假村娜拉杜岛超长美景4K超清片段集 配放松音乐 疗愈 冥想 写作业背景音 助眠视频】,1217,1240,,
333,https://www.bilibili.com/video/BV1cu4y1D7TP/?share_source=copy_web&vd_source=82473e08383b10f96ce547e5e6d1a944,【飞越土耳其（4K 视频超高清）- 轻松的音乐与美丽的自然风光】,0022,0046,,
334,https://www.bilibili.com/video/BV1Kc41167u4/?share_source=copy_web&vd_source=82473e08383b10f96ce547e5e6d1a944,【飞越马洛卡 (4K UHD) - 轻松的音乐和美丽的自然风光视频】,2133,2159,,
335,https://www.bilibili.com/video/BV1nc41197vz/?share_source=copy_web&vd_source=82473e08383b10f96ce547e5e6d1a944,【飞越菲律宾 (4K UHD) - 轻松的音乐与美丽的大自然】,1144,1208,,
336,https://www.bilibili.com/video/BV1rM411h7i1/?share_source=copy_web&vd_source=82473e08383b10f96ce547e5e6d1a944,【在挪威（4K UHD）周围旅行 - 轻松的音乐以及美丽的自然视频（4K视频高清）】,0012,0034,,
337,https://www.bilibili.com/video/BV1dT41127ti/?share_source=copy_web&vd_source=82473e08383b10f96ce547e5e6d1a944,【在苏格兰（4K UHD）周围旅行 - 轻松的音乐以及美丽的自然视频（4K视频高清）】,0454,0516,,
338,https://www.bilibili.com/video/BV1ks421K7u6/?share_source=copy_web&vd_source=82473e08383b10f96ce547e5e6d1a944,【加拿大4K奇妙自然电影-宁静的钢琴音乐-旅行自然】,0653,0716,,
339,https://www.bilibili.com/video/BV1BM4m1Z7kz/?share_source=copy_web&vd_source=82473e08383b10f96ce547e5e6d1a944,【克罗地亚 4K UHD - 轻松的音乐与美丽的自然景观】,1420,1440,,
340,https://www.bilibili.com/video/BV1YJ4m1K7Xp/?share_source=copy_web&vd_source=82473e08383b10f96ce547e5e6d1a944,【夏威夷 4K UHD - 轻松的音乐与美丽的自然景观】,0305,0331,,
341,https://www.bilibili.com/video/BV19b421t7ip/?share_source=copy_web&vd_source=82473e08383b10f96ce547e5e6d1a944,【飞越卡普里岛 (4K UHD) - 风景优美的放松电影，配有平静的音乐 - 自然】,0518,0538,,
342,https://www.bilibili.com/video/BV1zDMMzfEyy/?spm_id_from=333.337.search-card.all.click&vd_source=b592fecd396fa8aebb4631faadf96fd1,4K｜流水白噪音｜自然环境中细碎溪流声编织成冥想结界，在声波震荡间传递情绪价值，让紧绷的神经泛起湿润的暖意,0000,0020,,
343,https://www.bilibili.com/video/BV1oxM2z8EF6?spm_id_from=333.788.videopod.sections&vd_source=b592fecd396fa8aebb4631faadf96fd1,4K｜流水白噪音｜清冽溪响化作冥想时的白噪音，在耳膜上流淌出情绪价值的轨迹，失眠的焦灼渐次消融,0000,0020,,
344,https://www.bilibili.com/video/BV1TPM2z1Eq3?spm_id_from=333.788.videopod.sections&vd_source=b592fecd396fa8aebb4631faadf96fd1,4K｜流水白噪音｜蜿蜒水声如冥想钵音般震颤，每道水纹承载情绪价值,0000,0020,,
345,https://www.bilibili.com/video/BV1mnMFz7EWX?spm_id_from=333.788.videopod.sections&vd_source=b592fecd396fa8aebb4631faadf96fd1,4K｜流水白噪音｜清泠水语如冥想经幡，在声波飘动中释放情绪价值，所有烦忧随波远去,0000,0020,,
346,https://www.bilibili.com/video/BV1ESTCzWE42?spm_id_from=333.788.videopod.sections&vd_source=b592fecd396fa8aebb4631faadf96fd1,4K｜流水白噪音｜山涧清泉的呢喃自带冥想频率，当水声漫过思维时，情绪价值如苔藓般悄然滋长,0000,0020,,
347,https://www.bilibili.com/video/BV178j1zEE1Y?spm_id_from=333.788.videopod.sections&vd_source=b592fecd396fa8aebb4631faadf96fd1,【流水白噪音】溪涧流动的音符漫过枕畔，带走所有杂念，只余清浅的梦在水波间轻轻摇晃,0000,0020,,
348,https://www.bilibili.com/video/BV1CzEizTELw?spm_id_from=333.788.videopod.sections&vd_source=b592fecd396fa8aebb4631faadf96fd1,【流水白噪音】细碎的水流声织就天然屏障，隔绝喧嚣世界，让身心在澄澈的水声摇篮里沉沉睡去,0000,0020,,
349,https://www.bilibili.com/video/BV1U1MUzsECF?spm_id_from=333.788.videopod.sections&vd_source=b592fecd396fa8aebb4631faadf96fd1,流水白噪音｜清泠水语如冥想的思绪，在舒缓飘动中释放情绪价值，所有烦忧随波远去,0000,0020,,
350,https://www.bilibili.com/video/BV1NeN7zQEuN?spm_id_from=333.788.videopod.sections&vd_source=b592fecd396fa8aebb4631faadf96fd1,4K｜流水白噪音｜溪水疗愈频率助 α 波进入深度 REM 睡眠层,0000,0020,,
351,https://www.bilibili.com/video/BV1D6KezyE8H?spm_id_from=333.788.videopod.sections&vd_source=b592fecd396fa8aebb4631faadf96fd1,水流潺潺给炎热的季节带来舒适感，流动的白噪音旋律适合静心、冥想与安然入眠,0000,0020,,
352,https://www.bilibili.com/video/BV1LKKgzDEJS?spm_id_from=333.788.videopod.sections&vd_source=b592fecd396fa8aebb4631faadf96fd1,4K｜流水白噪音｜潺潺溪水疗愈频率助力α波进入深度REM冥想睡眠层,0000,0020,,
353,https://www.bilibili.com/video/BV1SdKMzBEH7?spm_id_from=333.788.videopod.sections&vd_source=b592fecd396fa8aebb4631faadf96fd1,4K｜流水白噪音｜沉浸式溪水α波频率，顺滑引入冥想和REM深层睡眠,0000,0020,,
354,https://www.bilibili.com/video/BV1rJGEzvEC1?spm_id_from=333.788.videopod.sections&vd_source=b592fecd396fa8aebb4631faadf96fd1,4K｜流水白噪音｜潺潺花溪声化作冥想沙盘，每颗卵石的轻响都在创造情绪价值，堆砌出安稳的睡眠堤岸,0000,0020,,
355,https://www.bilibili.com/video/BV1SmGuzsEY1?spm_id_from=333.788.videopod.sections&vd_source=b592fecd396fa8aebb4631faadf96fd1,4K｜流水白噪音｜沉浸式溪水声伴 α 波白噪音进入惬意的冥想状态，亦可放松精神深度睡眠,0000,0020,,
356,https://www.bilibili.com/video/BV1gQ8RzwErS?spm_id_from=333.788.videopod.sections&vd_source=b592fecd396fa8aebb4631faadf96fd1,4K | 流水声白噪音｜💧治愈冥想、🌙深度助眠白噪音、✨宁神静心的优选背景音,0000,0020,,
357,https://www.bilibili.com/video/BV1bJpwzoETo/?spm_id_from=333.1007.tianma.2-3-6.click&vd_source=f87fd44814c6e7c41a4dc471831477ed,【4K60帧】放松解压：第一视角驾车欣赏瑞士优美风景 250914,1100,1120,,
358,https://www.bilibili.com/video/BV1MY89zxEHb?spm_id_from=333.788.recommend_more_video.0&vd_source=f87fd44814c6e7c41a4dc471831477ed,【4K60帧】放松解压：第一视角驾车欣赏瑞士优美风景 250729,0700,0720,,
359,https://www.bilibili.com/video/BV1rF5XzPEKH?spm_id_from=333.788.recommend_more_video.-1&vd_source=f87fd44814c6e7c41a4dc471831477ed,【4K】漫步瑞士最美小镇，一个藏在少女峰山脚下的童话小镇！,0755,0816,,
360,https://www.bilibili.com/video/BV1VjH3zoEPV/?spm_id_from=333.337.search-card.all.click&vd_source=f87fd44814c6e7c41a4dc471831477ed,西班牙风景航拍视频-超清 4K,1215,1237,,
361,https://www.bilibili.com/video/BV1ZmYTefERn/?spm_id_from=333.337.search-card.all.click&vd_source=f87fd44814c6e7c41a4dc471831477ed,森林 树木 树林 自然 风景 免费商用4K超清视频素材【合集】,0000,0020,,
362,https://www.bilibili.com/video/BV1p4hueNEPt?spm_id_from=333.788.videopod.sections&vd_source=f87fd44814c6e7c41a4dc471831477ed,天空 云海 蓝天 白云 云层 免费商用4K超清视频素材 【合集】,0000,0020,,
363,https://www.bilibili.com/video/BV1KtYVz7EHi/?spm_id_from=333.337.search-card.all.click&vd_source=f87fd44814c6e7c41a4dc471831477ed,🌍 震撼心灵！地球最惊艳的自然美景4K杜比视界60FPS,1345,1406,,
364,https://www.bilibili.com/video/BV1dr4y1C766/?spm_id_from=333.337.search-card.all.click&vd_source=f87fd44814c6e7c41a4dc471831477ed,4K UHD蒙古超美画面航拍，令你意想不到。,0412,0434,,
365,https://www.bilibili.com/video/BV1Xr4y1E7RA/?spm_id_from=333.337.search-card.all.click&vd_source=f87fd44814c6e7c41a4dc471831477ed,【4k航拍素材】4K航拍长江三峡大好河山，免费分享！,0000,0020,,
366,https://www.bilibili.com/video/BV1uM4y1R72L?spm_id_from=333.788.videopod.sections&vd_source=f87fd44814c6e7c41a4dc471831477ed,【8K风景】美丽星球3 [3.5小时Plus Pro Max加长版] 解压-治愈-工作学习背景音-清晨叫醒-夜晚助眠,0000,0020,,
367,https://www.bilibili.com/video/BV1WK411f7QN?spm_id_from=333.788.videopod.sections&vd_source=f87fd44814c6e7c41a4dc471831477ed,【4K风景】壮美中国2 [3小时Plus Pro加长版] 解压-治愈-工作学习背景音-清晨叫醒-夜晚助眠,0000,0020,,
368,https://www.bilibili.com/video/BV1Cq4y1o7Ge/?share_source=copy_web&vd_source=fab82ff13ba44c86b662d2441e27a6c0,【4K 超清】步行街景实拍 第一视角 云南大理古城 秋日清晨 复兴路 南至北 10-03,0015,0120,,
369,https://www.bilibili.com/video/BV1Ra4y1v7PW/?share_source=copy_web&vd_source=fab82ff13ba44c86b662d2441e27a6c0,【艾叔】[4K] 中式桃花源，5亩苏州园林私家豪宅长什么样,0020,0130,,
370,https://www.bilibili.com/video/BV1Dy4y1r72x/?share_source=copy_web&vd_source=fab82ff13ba44c86b662d2441e27a6c0,【西藏·纳木错 座落在苍蓝天空的圣湖【4K VLOG】】,0130,0200,,
371,https://www.bilibili.com/video/BV1nP4y1J71A/?share_source=copy_web&vd_source=fab82ff13ba44c86b662d2441e27a6c0,【4K北京胡同实拍视频素材【VJshi视频素材】】,0013,0115,,
372,https://www.bilibili.com/video/BV1Wk4y1v7kk/?share_source=copy_web&vd_source=fab82ff13ba44c86b662d2441e27a6c0,【【4K素材】杭州西湖风景名胜区视频】,0025,0140,,
373,https://www.bilibili.com/video/BV1KbuczREDG/?share_source=copy_web,【[4K HDR] 赛博朋克之夜：漫步重庆洪崖洞与千厮门大桥 | 漫游中国 | 重庆 | 云旅行 沉浸式 漫步 旅行 city walk Pocket3】,0135,0210,,
374,https://www.bilibili.com/video/BV1rs4y1D72B/?share_source=copy_web,【秦始皇兵马俑博物馆1号坑实拍（4K画质）】,0015,0100,,
375,https://www.bilibili.com/video/BV1io4y1X7Hp/?share_source=copy_web,【【4K】拥有喀斯特地貌的桂林山水有多好看】,0140,0220,,
376,https://www.bilibili.com/video/BV1Y44y1P7tV/?share_source=copy_web&vd_source=fab82ff13ba44c86b662d2441e27a6c0,【外滩4K无人】,0012,0122,,
377,https://www.bilibili.com/video/BV1AdtDe1EKf/?share_source=copy_web&vd_source=fab82ff13ba44c86b662d2441e27a6c0,【[4K HDR]天门奇峰云中绕，带你游湖南张家界天门山| 漫游中国 | 湖南 张家界 | 云旅行 沉浸式 漫步 POV 旅行 白噪音】,0022,0132,,
378,https://www.bilibili.com/video/BV1cF411U78y/?share_source=copy_web&vd_source=fab82ff13ba44c86b662d2441e27a6c0,【4K超清：内蒙古航拍短片】,0032,0202,,
379,https://www.bilibili.com/video/BV17g411N7S6/?share_source=copy_web&vd_source=fab82ff13ba44c86b662d2441e27a6c0,【[4K HDR] 青海省茶卡盐湖 - 天空之镜】,0008,0118,,
380,https://www.bilibili.com/video/BV1Sk4y1j7zH/?share_source=copy_web&vd_source=fab82ff13ba44c86b662d2441e27a6c0,【苍茫云海，人间仙境也不过如此【安徽歙县4k云海航拍】,0018,0128,,
381,https://www.bilibili.com/video/BV1Qf4y1E7v5/?share_source=copy_web,【【4K】初秋九寨沟·山与水的童话世界】,0028,0138,,
382,https://www.bilibili.com/video/BV1WM4m1y7Qi/?share_source=copy_web&vd_source=fab82ff13ba44c86b662d2441e27a6c0,【世界最大的薰衣草花田！不在普罗旺斯，在新疆伊犁【4K】】,0138,0218,,
383,https://www.bilibili.com/video/BV1pa411r7FP?spm_id_from=333.788.recommend_more_video.1&vd_source=36c23c3956e0bb42f2a427bebc952ea2,【4K】九寨沟秋日世界，是世间最美的彩色,0000,0030,,
384,https://www.bilibili.com/video/BV1HM4y1A7mT?spm_id_from=333.788.recommend_more_video.0&vd_source=9735e89de9c540be2135ed0fbc3da7ff,银河【4K】,1113,1137,,
385,https://www.bilibili.com/video/BV1p1n8zdEAk?share_source=copy_web&vd_source=9735e89de9c540be2135ed0fbc3da7ff&p=13&spm_id_from=333.788.videopod.episodes,土耳其4K视觉之旅,1214,1239,,
386,https://www.bilibili.com/video/BV1p1n8zdEAk?share_source=copy_web&vd_source=9735e89de9c540be2135ed0fbc3da7ff&spm_id_from=333.788.videopod.episodes&p=15,西班牙4K视觉之旅,1319,1342,,
387,https://www.bilibili.com/video/BV1p1n8zdEAk?share_source=copy_web&vd_source=9735e89de9c540be2135ed0fbc3da7ff&spm_id_from=333.788.videopod.episodes&p=16,希腊4K视觉之旅,0717,0740,,
388,https://www.bilibili.com/video/BV1p1n8zdEAk?share_source=copy_web&vd_source=9735e89de9c540be2135ed0fbc3da7ff&spm_id_from=333.788.videopod.episodes&p=17,意大利4K视觉之旅,1306,1332,,
389,https://www.bilibili.com/video/BV1YtxYzYESF/?spm_id_from=333.337.search-card.all.click&vd_source=36c23c3956e0bb42f2a427bebc952ea2,当自然回到最真实的样子 4K HDR 杜比 - 放松风光影片,0034,0055,,
390,https://www.bilibili.com/video/BV166tZzEEMB/?spm_id_from=333.337.search-card.all.click&vd_source=36c23c3956e0bb42f2a427bebc952ea2,【4KHDR 真彩®】 世界最惊艳的 4K HDR 杜比视界 —— 舒缓减压音乐,0020,0040,,
391,https://www.bilibili.com/video/BV1oA411a7hN/?spm_id_from=333.337.search-card.all.click&vd_source=36c23c3956e0bb42f2a427bebc952ea2,〖4K画质〗绝美星空 每一帧皆可做壁纸！！！,0242,0313,,
392,https://www.bilibili.com/video/BV171xpz3EEv/?spm_id_from=333.337.search-card.all.click&vd_source=36c23c3956e0bb42f2a427bebc952ea2,4K HDR 60FPS ｜仿佛天堂的绝美画面 ｜杜比视界 & 沉浸式学习音乐 🎶✨,0045,0105,,
393,https://www.bilibili.com/video/BV1ESH1zAERU?spm_id_from=333.788.recommend_more_video.2&vd_source=36c23c3956e0bb42f2a427bebc952ea2,16K HDR】地球上最美丽的景色🌼 16K视频超高清|极致画质|杜比视界|电视屏幕测试|手机屏幕测试 |,0000,0020,,
394,https://www.bilibili.com/video/BV1p1n8zdEAk?share_source=copy_web&vd_source=9735e89de9c540be2135ed0fbc3da7ff&spm_id_from=333.788.videopod.episodes&p=18,中国4K视觉之旅,1049,1109,,
395,https://www.bilibili.com/video/BV1p1n8zdEAk?share_source=copy_web&vd_source=9735e89de9c540be2135ed0fbc3da7ff&spm_id_from=333.788.videopod.episodes&p=12,神奇的苏格兰-4K视觉之旅,0940,1005,,
396,https://www.bilibili.com/video/BV1p1n8zdEAk?share_source=copy_web&vd_source=9735e89de9c540be2135ed0fbc3da7ff&spm_id_from=333.788.videopod.episodes&p=11,日本4K视觉之旅,1448,1509,,
397,https://www.bilibili.com/video/BV1p1n8zdEAk?share_source=copy_web&vd_source=9735e89de9c540be2135ed0fbc3da7ff&spm_id_from=333.788.videopod.episodes&p=10,挪威4K视觉之旅,1300,1320,,
398,https://www.bilibili.com/video/BV1He4y1J7WV?t=14.8,秋日枫叶绝美4k视频素材 超高清无水印,0015,0111,,
399,https://www.bilibili.com/video/BV1mLbNzUE8i?t=1494.2,【4K60帧】放松解压：瑞士阿尔卑斯山区宁静美丽的乡村风景漫步 250809,2455,2544,,
400,https://www.bilibili.com/video/BV11j411P7n6?t=15.8,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🚗 4K视频 | 旅行 | 雨中自驾瑞士小镇 | 雨声和引擎声,0000,0104,,
401,https://www.bilibili.com/video/BV1TM4y1f7En?t=430.9,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🚚 4K视频 | 旅行 | 真实的欧洲卡车驾驶 | 欧卡 | 旅行歌单,0655,0853,,
402,https://www.bilibili.com/video/BV1KW421c7GP?t=185.7,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🍃 4K视频 | 旅行 | 瑞士老城库尔 | 春天歌单,0249,0304,,
403,https://www.bilibili.com/video/BV14H4y1o7Rk?t=9.3,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🌅 4K视频 | 旅行 | 海边日出 | 海边歌单,0010,0113,,
404,https://www.bilibili.com/video/BV1gC4y1o7zy?t=32.5,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🌂 4K视频 | 旅行 | 劳特布龙嫩 | 雨天歌单,0013,0134,,
405,https://www.bilibili.com/video/BV1fM411s7EE?t=789.7,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🌸 4K视频 | 旅行 | 日本樱花季节 | 春天歌单,1310,1346,,
406,https://www.bilibili.com/video/BV1m14y1N7xn?t=639.5,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🌅 4K视频 | 旅行 | 落日总是会让人有点感伤，送给你的温柔歌单,1028,1123,,
407,https://www.bilibili.com/video/BV1Hd4y1Y72s?t=38.2,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🍰 4K视频 | 旅行 | 海边的野餐 | 欣赏城市的慢生活,0039,0202,,
408,https://www.bilibili.com/video/BV1ytHtzWEFq?t=33.0,漫步游览1300多年前的中国古镇【4K】,0033,0130,,
409,https://www.bilibili.com/video/BV1PUYmeHEfE?t=245.4,【4K60帧】超清日本：静冈县滨松市漫步,0404,0434,,
